,company,job title,location,job description,salary estimate,company_size,company_type,company_sector,company_industry,company_founded,company_revenue
0,"Shell
4.1",Data Science Analyst,India,"General Position Definition
Finance & Data Operations Data Science Team is tasked with delivering tangible value to business units within Shell through data-driven decision making.
This position is part of Finance & Data Operations Data Science team leading a team of data scientists delivering advanced analytics projects for different businesses within Shell. The individual will join a growing global data science team spanning both on/offshore.
Incumbent is responsible for supporting the development of analytical models for projects collaborating with different business stakeholders & other partners and working across a range of technologies and tools.
The ideal candidate has good background in quantitative skills (like statistics, mathematics, advanced computing) and has applied those skills in solving real world problems
Show More
Report",#N/A,10000+ Employees,Company - Public,"Energy, Mining, Utilities",Energy & Utilities,1907,$10+ billion (USD)
1,SimpleTherapy Inc.,Data Analyst - BI and Analytics,Remote,"Are you passionate about leveraging data to drive strategic decision-making? Do you have experience in Business Intelligence (BI), analytics, and data engineering? If so, we have an exciting opportunity for you to join our team as a Data Analyst and play a pivotal role in shaping the success of our BI, analytics, and engineering projects.
Location: India (Remote)
Position Type: Contract to Hire (Opportunity to convert into permanent full-time role)
Responsibilities:
Collaborate with cross-functional teams and stakeholders to define data requirements and deliver actionable insights.
Utilize BI and analytics tools such as Looker, Power BI, Tableau, or similar platforms to create meaningful visualizations and dashboards.
Show More
Report",₹8L - ₹12L,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2,"BigShyft
4.0",Data Scientist,Noida,"What You'll do:
Collaborate with cross-functional teams to identify and understand business requirements and translate them into AI/ML solutions.
Design, develop, and implement machine learning models and algorithms for various applications.
Collect, clean, and preprocess data from multiple sources to train ML models.
Conduct exploratory data analysis to gain insights and identify patterns in the data.
Evaluate and compare the performance of different ML models and select the most appropriate one for a given task.
Optimize ML models for performance, scalability, and efficiency.
Implement data pipelines and workflows to automate the training and deployment of ML models.



Show More
Report",₹7L - ₹11L,1 to 50 Employees,Company - Private,Human Resources & Staffing,HR Consulting,2018,Less than $1 million (USD)
3,Livello India,Data Science Engineer (AI and Business Intelligence),Hyderābād,"Company Profile:
Livello India Private Limited is a start-up company with its parent company based in Germany in the city of Dusseldorf founded in 2016. Our vision is to revolutionize the domain of retail technology, aiming to automate and simplify our customers' shopping experience. We initiated our R&D division in India with the goal of strengthening and expanding our R&D team. Our aim is to develop products that ensure a quick and hassle-free shopping experience for our customers. Our areas of expertise include full-stack development, IoT, cloud computing, data science, computer vision, embedded systems, test automation, electronics, and mechanical engineering
Join our journey:Livello Technologies
Core Responsibilities:


Show More
Report",₹8L - ₹11L,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
4,Midas Fintech Solutions Private Limited,Artificial Intelligence and Machine Learning Trainee,Mumbai,"inPosition Overview:
As an Artificial Intelligence and Machine Learning Trainee, you will have the opportunity to work closely with our AI and ML experts to gain hands-on experience in the development, implementation, and refinement of cutting-edge AI and ML solutions. The trainee period will provide you with valuable exposure to real-world projects, data analysis, algorithm development, and collaboration with cross-functional teams.
Responsibilities:
Data Preprocessing and Analysis: Assist in collecting, cleaning, and preparing data for AI and ML models. Perform exploratory data analysis to gain insights into data patterns and quality.
Algorithm Development: Collaborate with senior team members to design, implement, and refine machine learning algorithms. This may include tasks like feature engineering, model selection, and hyperparameter tuning.

Show More
Report",₹30T - ₹50T,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
5,"F(x) Data Labs PVT LTD
4.6",Data Science Engineer,Ahmedabad,"We are looking for a Data Scientist who will support our product, sales, leadership and marketing teams with insights gained from analyzing company data. The ideal candidate is adept at using large data sets to find opportunities for product and process optimization and using models to test the effectiveness of different courses of action. They must have knowledge of using a variety of data mining/data analysis methods, using a variety of data tools, building and implementing models, using/creating algorithms and creating/running simulations. They must have a proven ability to drive business results with their data-based insights. They must be comfortable working with a wide range of stakeholders and functional teams. The right candidate will have a passion for discovering solutions hidden in large data sets and working with stakeholders to improve business outcomes.
Responsibilities for Data Scientist
Work with stakeholders throughout the organization to identify opportunities for leveraging company data to drive business solutions.


Show More
Report",₹5L - ₹7L,1 to 50 Employees,Company - Private,Information Technology,Information Technology Support Services,2015,Unknown / Non-Applicable
6,Iplotlabs,"Data science, python, AI and SQL training",Chennai,"We are enrolling candidates for providing software training and placement references.
Do project and get certification in software course with internship certificate
Courses offered:
Python, SQL, Data science with python, Data science with AI, Antenna design and Full stack developer
Eligibility: Any degree
Contact: 9790951108
Job Types: Full-time, Part-time, Fresher, Internship, Freelance
Show More
Report",#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
7,Amethyst Partners,Data Scientist - SQL / Python,Gurgaon,"Our client is a leading US-based statistical trading and investment company. Due to business growth, they are looking for Data Scientist to join their growing team in Gurgaon.
Key Responsibilities:
Parse and analyse large data sets to develop quantitative strategies signal
Create data visualizations to gain insight on large data sets, such as order-by-order tick data, present findings and results
Developing machine learning algorithms and identify the pattern in the large data sets
Work on discovering and obtaining new sources of data
Key Requirements:
Show More
Report",₹45L - ₹75L,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
8,"Spark Solutions
4.5",Data Science Engineer,Hyderābād,"Experience using machine learning libraries or platforms such as Tensorflow,Scikit-Learn,Spark ML,Python,SQL,Redshift,and knowledge of AWS environment
Perform online reporting,collection and analysis of digital metrics,process large clickstream data sets from Google Analytics / Big query to provide online user experience improvementExperience using machine learning libraries or platforms such as Tensorflow, Scikit-Learn, Spark ML, Python, SQL, Redshift, and knowledge of AWS environment.
Synthesize large volumes of data with attention to granular details and present findings and recommendations to senior-level stakeholders using advanced modelling algorithm.
Perform online reporting, collection and analysis of digital metrics, process large clickstream data sets from Google Analytics/Big query to provide online user experience improvement.
Show More
Report",₹5L - ₹8L,1 to 50 Employees,Company - Private,Information Technology,Computer Hardware Development,2014,Unknown / Non-Applicable
9,Merilytics,Analyst - Data Science,Hyderābād,"Job description
We expect you to work on complex, cross-functional analytical and research-oriented projects using advanced computational, machine learning and deep learning algorithms.
You will be responsible for developing proprietary algorithms for solving complex business problems while handling large amount of structured and unstructured data
You will be expected learn and use relevant knowledge of computer science fundamentals, distributed computing and machine learning to help build scalable analytical solutions
As a member of the Data Science team, You will need to leverage your expertise in advanced analytics and work closely with our technical team and core business teams for design and development of the analytical solutions
You would need to combine business knowledge with statistical and computational techniques to provide actionable business solutions for our clients
Show More
Report",₹5L - ₹10L ,201 to 500 Employees,Company - Private,Management & Consulting,Business Consulting,2012,Unknown / Non-Applicable
